A	Bekend persoon
B	Muzikant
C	Radio
D	Pers
E	Televisie
F	Fotograaf
G	Buitenlander
H	Diskjockey
I	Hoofdredacteur
J	Winnaar Pop Pers Prijs
K	Vrouw
L	Overleden
M	Bibliothecaris
