hvau	Harmen van Aurich	Aurich, Harmen van	AurichH.htm	1 4 5 15		1				1	1																						1											4		1		a	Harmen		9				1	1	1		1	1	1	1		1	1	9													0																																																		0		0	
kb	Kees Baars	Baars, Kees	BaarsK.htm	6	C							1					1																											2	Veronica	8		a	Kees		8															0													0					1	1	1	1	1	1						1							1																											8		0	
nbaartman	Nicoline Baartman	Baartman, Nicoline	BaartmanN.htm		D K														1										1															2	Volkskrant			a	Nicoline		3															0													0																1		1		1																														3		0	
Baartmans	BJ Baartmans	Baartmans, BJ			B										1																																			JW Roy band, Ketterse fanfare, Manuel	1	1														0													0																																																		0		0	
lback	Les Back	Back, Les			G																				1																			1							0															0													0																																																		0		0	
Badwan	Faris Badwan	Badwan, Faris			B G										1										1																																																																																																											
hbahara	Hassan Bahara	Bahara, Hassan																																																	0															0													0																																																		0	1	0	
BaileyB	Bill Bailey	Bailey, Bill			G																				1																																																																																																											
sbailey	Stuart Bailie	Bailie, Stuart			G																				1																			1							0															0													0																																																		0		0	
rvb	Rogier van Bakel	Bakel, Rogier van	BakelR.htm		D														1																									1	Journalist	5		a	Rogier		1															0													0												1																																						1		0	
sbaker	Sonny Baker	Baker, Sonny			G																																																													0													0																																																		0			
jbakker	Johan Bakker	Bakker, Johan	BakkerJ.htm						1												1		1											1										4							5															0			1					1	1	1	1		5																																																		0		0	
mbak	Machgiel Bakker	Bakker, Machgiel	BakkerM.htm																																									0		1			Machgiel	Fonos, Beeld en geluid	2															0													0																																											1		1					2		2	1
robb	Rob Bakker	Bakker, Rob																																										0		1			Rob		0															0													0																																																		0		0	
mbaks	Mariëtte Baks	Baks, Mariëtte			K																								1																						0															0													0																																																		0		0	
rbp	Reelick Bandel Post	Bandel Post, Reelick	BandelPostR.htm																																									0	Onbekend			a	Reelick		1															0													0	1																																																	1		0	
mbarkhuis	Martijn Barkhuis	Barkhuis, Martijn																																																																0												1	1																																																		0			
tombarman	Tom Barman	Barman, Tom			A			1																																											0															0													0																																																		0	1	0	
mbarnes	Mike Barnes	Barnes, Mike		2 11	G		1													1					1																			3		1			Mike		0															0													0																																																		0		0	
abarn	Archie Barneveld	Barneveld, Archie	BarneveldA.htm																																									0	Onbekend	4		a	Archie		2															0													0					1			1																																										2		0	
pdbarres	Pamela des Barres	Barres, Pamela des			G K																				1				1															2							0															0													0																																																		0		0	
fb	Frits Barth	Barth, Frits	BarthF.htm	1 4 5 11		1				1	1									1																								4		1		a	Frits		11			1		1	1	1	1	1	1	1	1	1	1	11													0																																																		0		0	
pbart	Peter Bartlema	Bartlema, Peter	BartlemaP.htm	1 3 5 12 13		1			1		1										1		1																					5		1		a	Peter		5					1	1	1	1		1					5													0																																																		0		0	
nvb	Nancy van Batenburg	Batenburg, Nancy van			K																								1															1							0															0													0																																																		0		0	
tbates	Theunis Bates	Bates, Theunis			G																				1																			1							0															0													0																																																		0		0	
abatey	Angus Batey	Batey, Angus		16 17 18 19	G																				1									1	1	1	1							5		1			Angus		0															0													0																																																		0		0	
