1	Roots
2	Avant-garde
3	Blues
4	Country & Western
5	Folk
6	Hard rock
7	Dance
8	Klassieke muziek
9	Punk
10	Reggae
11	Singer-songwriter
12	Soul
13	Wereldmuziek
14	Symfo
15	Americana
16	Jazz
17	Funk
18	Hiphop
19	Drum-n-bass
20	House/Techno/Trance
21	Nu-metal
22	Nederlandstalig
23	Easy listening
