D09	1999	Boek	Colin Larkin - All-time top 1000 albums (2e ed.)	allnr1.htm	pos			Algemeen	Nederland	Boek	1939-1999	1004							D09	1999		D09	
D10	2005	Boek	1001 albums you must hear before you die : 1950s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	1949-1959	23							D10	2005		D10	
D11	2005	Boek	1001 albums you must hear before you die : 1960s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	1960-1969	150							D11	2005		D11	
D12	2005	Boek	1001 albums you must hear before you die : 1970s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	1970-1979	277							D12	2005		D12	
D13	2005	Boek	1001 albums you must hear before you die : 1980s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	1980-1989	210							D13	2005		D13	
D14	2005	Boek	1001 albums you must hear before you die : 1990s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	1988-1999	239							D14	2005		D14	
D15	2005	Boek	1001 albums you must hear before you die : 2000s	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	2000-2005	99							D15	2005		D15	
D15A	2008	Boek	1001 albums you must hear before you die: aanvullingen 2008	1001albumsyoumusthear.htm	gp			Algemeen	Nederland	Boek	2000-2008	20							D15A	2008		D15A	
D16	1995	Boek	Spin alternative record guide: top 100 alternative albums	Spinalternativerecordguide1995top100.htm	pos	1		Algemeen	Engeland	Boek	1965-1995	100				canon 	1		D16	1995		D16	
D17	2006	Julian White	The best prog rock albums of all time? (Julian White)	Bestprogrockalbums.htm	gp	1		Progrock	Engeland	Internet	1967-2005	85				canon 	1		D17	2006		D17	
D18	1979	Boek	Greil Marcus - Treasure island albums	GreilMarcusTreasureislandalbums.htm	gp			Algemeen	V.S.	Boek	1957-1979	248							D18	1979		D18	
D19	2001	Internet	Albums genoemd door Elvis Costello	Costello.htm	gp			Algemeen	Engeland	Internet	1939-2002	414							D19	2001		D19	1
D20	1994	Guitarist	Guitarist - the top 50 most influential guitar albums of all time ever!	GuitaristTop50.htm	pos	1		Algemeen	Engeland	Tijdschrift	1957-1991	50				canon 	1		D20	1994		D20	
D21	1984	Creem magazine	Creem - top ten metal albums of the '60s	CreemTopTenMetalAlbums.htm	pos	1		Heavy	V.S.	Tijdschrift	1965-1969	10				60s	1		D21	1984		D21	
D22	1984	Creem magazine	Creem - top ten metal albums of the '70s	CreemTopTenMetalAlbums.htm	pos	1		Heavy	V.S.	Tijdschrift	1970-1979	10				70s	1		D22	1984		D22	
D23	1984	Creem magazine	Creem - top ten metal albums of the '80s	CreemTopTenMetalAlbums.htm	pos	1		Heavy	V.S.	Tijdschrift	1980-1983	10				80s	1		D23	1984		D23	
D25	2006	Internet	Wat is het allerbeste album? Top 100 (VPRO)	VPROWatishetallerbestealbumMei2006.htm	pos			Algemeen	Nederland	Internet	1965-2006	100							D25	2006		D25	
D26	2006	Internet	Wat is het allerbeste album? Genomineerde titels (VPRO)	VPROWatishetallerbestealbumMei2006.htm	gp			Algemeen	Nederland	Internet	1956-2005	199							D26	2006		D26	
D27	1981	Book of rock lists	The best of the album chartmakers by year - 1963	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1963	40				1963	1	1963	D27	1981	1	D27	
D28	1981	Book of rock lists	The best of the album chartmakers by year - 1964	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1964	40				1964	1	1964	D28	1981	1	D28	
D29	1981	Book of rock lists	The best of the album chartmakers by year - 1965	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1965	40				1965	1	1965	D29	1981	1	D29	
D30	1981	Book of rock lists	The best of the album chartmakers by year - 1966	Bookofrocklists.htm	pos			Algemeen	Engeland	Boek	1966	40				1966	1	1966	D30	1981	1	D30	
